,Country,ADD,Pork1,Pork2,Poultry1,Poultry2,Beef1,Beef2,LambGoat1,LambGoat2,Fish1,Fish2,Eggs1,Eggs2,Dairy1,Dairy2,AnimalTotal,Wheat1,Wheat2,Rice1,Rice2,Soy1,Soy2,Nuts1,Nuts2,NonAnimalTotal,Difference Animal_Nonanimal
89,Cuba,,19.82,70.15,20.15,21.65,6.39,197.18,1.24,43.42,4.76,7.6,9.82,9.02,99.94,142.35,491.38,54.62,10.42,67.7,86.64,6.34,2.85,0.23,0.41,100.31,391.07
90,China,,38.43,136.02,13.2,14.18,5.12,157.99,3.13,109.61,21.01,33.55,18.76,17.23,32.66,46.52,515.11,63.36,12.08,78.18,100.05,3.66,1.65,6.39,11.31,125.09,390.02
91,Honduras,,6.48,22.94,20.29,21.8,7.19,221.87,0.04,1.4,2.7,4.31,5.19,4.77,91.33,130.09,407.17,37.36,7.12,14.42,18.45,0.01,0,0.75,1.33,26.91,380.26
92,Taiwan. ROC,,39.37,139.35,32.13,34.51,5.21,160.77,0.92,32.22,18.29,29.2,13.08,12.02,41.72,59.43,467.5,50.92,9.71,45.85,58.67,16.95,7.63,9.06,16.04,92.05,375.45
93,Angola,,8.89,31.47,17.33,18.62,8.42,259.82,1.08,37.82,15.24,24.33,1.11,1.02,12.3,17.52,390.6,40.72,7.77,8.12,10.39,0.52,0.23,2.26,4,22.39,368.21
94,Jamaica,,3.99,14.12,52.51,56.41,3.97,122.51,1.26,44.13,21.95,35.05,2.27,2.09,91.13,129.81,404.1,70.67,13.48,23.45,30.01,0,0,1.82,3.22,46.71,357.39
95,Namibia,,4.21,14.9,12.19,13.09,3.75,115.72,2.27,79.5,10.7,17.08,1.63,1.5,73.05,104.05,345.84,36.26,6.91,6.31,8.07,0.07,0.03,0.71,1.26,16.28,329.56
96,Belize,,16.8,59.46,28.31,30.41,4.86,149.97,0.14,4.9,7.57,12.09,4.85,4.46,80.3,114.38,375.67,54.06,10.31,28.42,36.37,1.88,0.85,5.58,9.88,57.4,318.27
97,Malaysia,,7.76,27.47,41.01,44.05,6.52,201.19,0.94,32.92,49.43,78.92,16.57,15.22,25.28,36.01,435.78,51.04,9.73,81.25,103.98,0.04,0.02,2.9,5.13,118.86,316.92
98,Zimbabwe,,2.65,9.38,4.97,5.34,7.37,227.42,0.96,33.62,2.8,4.47,1.75,1.61,31.9,45.44,327.28,31.31,5.97,10.09,12.91,0.54,0.24,2.22,3.93,23.06,304.22
99,Guatemala,,4.85,17.17,16.45,17.67,5.6,172.8,0.23,8.05,1.08,1.72,14.61,13.42,46.6,66.38,297.22,35.9,6.85,5.66,7.24,0.32,0.14,2,3.54,17.77,279.44
